round,colour,opponent,result,termination,init_s,moves,time_used_s,slowest_s,fastest_s,average_s,clock_left_s,machine,finished_at
Rated 88,Black,The Queen Gambler,Loss,Checkmate,33.6,96,144.0,16.8,0.0,1.5,24.0,w-a7ade1,2026-09-09T19:07:02.863847+00:00
Rated 87,White,mangodogo,Win,Checkmate,35.8,18,73.9,13.2,0.0,4.1,55.1,w-a7529c,2026-09-09T18:03:28.360862+00:00
Rated 86,White,adashima,Win,Checkmate,39.8,34,94.5,28.4,0.0,2.8,42.5,w-e5344b,2026-09-09T17:08:04.32534+00:00
Rated 85,Black,Miskeen,Loss,Checkmate,34.1,67,126.7,4.8,0.0,1.9,26.8,w-e59fd5,2026-09-09T16:08:34.280815+00:00
Rated 84,Black,Neural Gambit,Draw,Threefold repetition,33.8,139,183.6,7.3,0.2,1.3,5.9,w-8d3742,2026-09-09T15:09:13.980685+00:00
Rated 83,White,ChessML,Win,Checkmate,35.5,51,112.4,4.9,0.0,2.2,33.1,w-32eea9,2026-09-09T14:07:32.874592+00:00
Rated 82,Black,The Archer,Loss,Checkmate,37.2,41,99.7,5.6,0.0,2.4,40.8,w-4ddd0e,2026-09-09T13:05:16.092238+00:00
Rated 81,White,Asher Falcon,Loss,Checkmate,37.7,72,141.0,5.7,0.0,2.0,15.0,w-28cd1a,2026-09-09T12:07:26.708926+00:00
Rated 80,White,Oleh Patsan,Loss,Checkmate,35.8,78,141.5,7.6,0.0,1.8,17.5,w-b23ebd,2026-09-09T11:07:26.75842+00:00
Rated 79,White,ChessNotCheckers,Win,Checkmate,37.4,46,112.0,6.3,0.0,2.4,31.0,w-616428,2026-09-09T10:05:14.605417+00:00
Rated 78,Black,Sguzzy,Loss,Checkmate,36.9,58,128.6,6.8,0.0,2.2,20.4,w-5b139f,2026-09-09T09:06:08.30343+00:00
Rated 77,Black,ChessML,Win,Checkmate,37.1,45,108.2,6.4,0.0,2.4,34.3,w-f11554,2026-09-09T08:05:09.283305+00:00
Rated 76,Black,Asher Falcon,Draw,Threefold repetition,34.9,87,135.4,9.5,0.0,1.6,28.1,w-b23ebd,2026-09-09T07:08:14.838338+00:00
